page,content,scraped_at
Lefaso.net,Appel à concurrence en vue de la mise en affermage du centre d'accueil et d'hebergement de la CNSS à Dori,2025-11-16T02:17:33.571130
Lefaso.net,Appel à concurrence en vue de la mise en affermage de la salle du ciné Burkina,2025-11-16T02:17:33.624021
Lefaso.net,"Burkina : Lancement officiel de la campagne nationale ""Deme Sira"" en faveur d’une solidarité nationale",2025-11-16T02:17:33.650353
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:36.378886
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:36.460619
Lefaso.net,Burkina: Dix femmes outillées à la technique de tissage Flying 8 pour renforcer leur autonomisation économique… En voir plus,2025-11-16T02:17:36.543952
Lefaso.net,Burkina Faso : Les premières Journées nationales du transport par rails ouvrent la voie au renouveau ferroviaire… En voir plus,2025-11-16T02:17:36.606081
Lefaso.net,Burkina/Sécurité routière : Yelen Assurance offre 50 casques et 50 attestations d’assurance à l’ONASER… En voir plus,2025-11-16T02:17:36.682565
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:39.198991
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:39.262620
Lefaso.net,Projet de couverture de 750 zones blanches en services de communications électroniques: Ses bienfaits présentés à Kaya … En voir plus,2025-11-16T02:17:39.348115
Lefaso.net,Transport de viande à Ouagadougou : La police de l’hygiène veut faire appliquer les textes en vigueur… En voir plus,2025-11-16T02:17:39.411489
Lefaso.net,"Reprise des souscriptions SONATUR sur les sites de Podéogô, Silmiougou, Bindougousso et Orodara",2025-11-16T02:17:39.491039
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:42.515546
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:42.583792
Lefaso.net,Travaux de réparation des affaissements survenus sur l’avenue Thomas Sankara (Route de l’hôpital Yalgado OUEDRAOGO)… En voir plus,2025-11-16T02:17:42.645957
Lefaso.net,Avis de recrutement d’un(e) Gestionnaire de Projets au Burkina Faso… En voir plus,2025-11-16T02:17:42.701023
Lefaso.net,Décès de El Hadj Issaka TIYAGBE : Remerciements… En voir plus,2025-11-16T02:17:42.766251
Lefaso.net,"15 novembre 2008-15 novembre 2025 : voici 17 ans de cela qu'est survenu, dans les encablures de Boromo, l'un des plus tragiques accident de la circulation dans notre pa… En voir plus",2025-11-16T02:17:42.842005
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:45.769309
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:45.823504
Lefaso.net,Décès de COULIBALY Lossani : Faire-part… En voir plus,2025-11-16T02:17:45.908072
Lefaso.net,"Burkina : « Initier les enfants à l’anglais dès le primaire, c’est leur donner un avantage compétitif pour l’avenir », Dr Marcel Guigma, directeur général de la qualité… En voir plus",2025-11-16T02:17:45.984235
Lefaso.net,Burkina : Les étudiants du privé devront désormais passer des examens nationaux… En voir plus,2025-11-16T02:17:46.042584
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:48.571182
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:48.608907
Lefaso.net,Banque : Le Groupe Coris accélère sa transformation digitale avec Proxym Group… En voir plus,2025-11-16T02:17:48.649902
Lefaso.net,Décès de El Hadj Issaka TIYAGBE : Remerciements… En voir plus,2025-11-16T02:17:48.705122
Lefaso.net,Décès de Madame BELEM Sidbéwendé Reine Roseline Tatiana / KAFANDO  : Remerciements … En voir plus,2025-11-16T02:17:48.751629
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:50.898857
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:50.944365
Lefaso.net,Burkina/Jeux de hasard : Maxime Tandam Kiendrebeogo empoche plus de 65 millions F CFA… En voir plus,2025-11-16T02:17:51.011027
Lefaso.net,Faire-part des funérailles chrétiennes de Lazare Tougma,2025-11-16T02:17:51.056832
Lefaso.net,Burkina/ Enseignement supérieur : Le gouvernement présente le nouveau cahier des charges des universités privées… En voir plus,2025-11-16T02:17:51.103370
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:52.958098
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:53.020872
Lefaso.net,Burkina/Région des Koulsé: Bientôt des lignes du réseau de bus dans la ville de Kaya et ses communes environnantes… En voir plus,2025-11-16T02:17:53.122547
Lefaso.net,Décès de OUEDRAOGO Gouri dit Jean-Paul : Faire-part… En voir plus,2025-11-16T02:17:53.192993
Lefaso.net,Décès de Mathurin SOME : Remerciements et faire-part… En voir plus,2025-11-16T02:17:53.239231
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:55.690736
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:55.817373
Lefaso.net,Décès de KABORE Wendwaoga Denis : Faire-part… En voir plus,2025-11-16T02:17:55.862293
Lefaso.net,Musique: Tanya dévoile son nouvel album intitulé “Gôndal”… En voir plus,2025-11-16T02:17:55.946044
